Date, Open, High, Low, Close
2021-03-02,3903.64,3906.41,3868.57,3870.29
2021-03-03,3863.99,3874.47,3818.86,3819.72
2021-03-04,3818.53,3843.67,3723.34,3768.47
2021-03-05,3793.58,3851.69,3730.19,3841.94
2021-03-08,3844.39,3881.06,3819.25,3821.35
2021-03-09,3851.93,3903.76,3851.93,3875.44
2021-03-10,3891.99,3917.35,3885.73,3898.81
2021-03-11,3915.54,3960.27,3915.54,3939.34
2021-03-12,3924.52,3944.99,3915.21,3943.34
2021-03-15,3942.96,3970.08,3923.54,3968.94
2021-03-16,3973.59,3981.04,3953.44,3962.71
2021-03-17,3949.57,3983.87,3935.74,3974.12
2021-03-18,3953.5,3969.62,3910.86,3915.46
2021-03-19,3913.14,3930.12,3886.75,3913.1
2021-03-22,3916.48,3955.31,3914.16,3940.59
2021-03-23,3937.6,3949.13,3901.57,3910.52
2021-03-24,3919.93,3942.08,3889.07,3889.14
2021-03-25,3879.34,3919.54,3853.5,3909.52
2021-03-26,3917.12,3978.19,3917.12,3974.54
2021-03-29,3969.31,3981.83,3943.25,3971.09
2021-03-30,3963.34,3968.01,3944.35,3958.55
2021-03-31,3967.25,3994.41,3966.98,3972.89
2021-04-01,3992.78,4020.63,3992.78,4019.87
2021-04-05,4034.44,4083.42,4034.44,4077.91
2021-04-06,4075.57,4086.23,4068.14,4073.94
2021-04-07,4074.29,4083.13,4068.31,4079.95
2021-04-08,4089.95,4098.19,4082.54,4097.17
2021-04-09,4096.11,4129.48,4095.51,4128.8
2021-04-12,4124.71,4131.76,4114.82,4127.99
2021-04-13,4130.1,4148,4124.43,4141.59
2021-04-14,4141.58,4151.69,4120.87,4124.66
2021-04-15,4139.76,4173.49,4139.76,4170.42
2021-04-16,4174.14,4191.31,4170.75,4185.47
2021-04-19,4179.8,4180.81,4150.47,4163.26
2021-04-20,4159.18,4159.18,4118.38,4134.94
2021-04-21,4128.42,4175.02,4126.35,4173.42
2021-04-22,4170.46,4179.57,4123.69,4134.98
2021-04-23,4138.78,4194.17,4138.78,4180.17
2021-04-26,4185.03,4194.19,4182.36,4187.62
2021-04-27,4188.25,4193.35,4176.22,4186.72
2021-04-28,4185.14,4201.53,4181.78,4183.18
2021-04-29,4206.14,4218.78,4176.81,4211.47
2021-04-30,4198.1,4198.1,4174.85,4181.17
2021-05-03,4191.98,4209.39,4188.03,4192.66
2021-05-04,4179.04,4179.04,4128.59,4164.66
2021-05-05,4177.06,4187.72,4160.94,4167.59
2021-05-06,4169.14,4202.7,4147.33,4201.62
2021-05-07,4210.34,4238.04,4201.64,4232.6
2021-05-10,4228.29,4236.39,4188.13,4188.43
2021-05-11,4150.34,4162.04,4111.53,4152.1
2021-05-12,4130.55,4134.73,4056.88,4063.04
2021-05-13,4074.99,4131.58,4074.99,4112.5
2021-05-14,4129.58,4183.13,4129.58,4173.85
2021-05-17,4169.92,4171.92,4142.69,4163.29
2021-05-18,4165.94,4169.15,4125.99,4127.83
2021-05-19,4098.45,4116.93,4061.41,4115.68
2021-05-20,4121.97,4172.8,4121.97,4159.12
