Date,Close,Volume,Open,High,Low
2021-12-09,524.33,3200453,528.8,532.33,523.8
2021-12-10,558.82,6333637,534.71,561.27,534.61
2021-12-13,557.22,3415151,550.44,559.75,547.98
2021-12-14,545.34,3494356,556.46,557.17,537.57
2021-12-15,565.48,2937123,546.21,566.49,545.53
2021-12-16,552.63,2683030,564.79,566.55,549.45
2021-12-17,547.61,5756845,549.32,556.47,540.98
2021-12-20,548.56,2033574,542.13,549.14,538.03
2021-12-21,545.43,2472780,550.5,551.78,536.08
2021-12-22,549.67,1454497,545.38,550,539.8
2021-12-23,550.37,1758107,551.74,552.61,547.49
2021-12-27,563.47,2263508,551.54,565.74,551.44
2021-12-28,564.64,1157520,563.43,566.64,560.7
2021-12-29,567.77,1753038,566.4,571.49,563.5
2021-12-30,563.91,1338748,569.53,569.88,562.37
2021-12-31,567.7,1509196,563.41,568.25,559.03
2022-01-03,566.71,2715113,565.03,567.47,555.51
2022-01-04,564.23,2097484,564.23,568.72,561.79
2022-01-05,549.92,2887485,563.69,565.05,549.77
2022-01-06,549.8,2503087,546.2,553.52,543.55
2022-01-07,536.18,2323920,547.55,548.37,534.24
2022-01-10,518.8,4916769,529.29,530.41,508.5
2022-01-11,522.03,2457299,518.8,522.47,510.29
2022-01-12,525.8,1729540,522.03,530.03,522.01
2022-01-13,516.88,2428072,527.64,529.05,515.23
2022-01-14,502.99,3872496,511.57,512.98,501.86
2022-01-18,488.07,3803545,494.46,495.08,486.86
2022-01-19,490.16,2709384,489.89,496.24,487.1
2022-01-20,482.82,2893721,490.75,499.88,481.84
2022-01-21,481.61,3295582,481.92,494.61,481.32
2022-01-24,488.9,4423868,475.55,489.97,469.01
2022-01-25,477.32,3076814,479.9,482.64,472.37
2022-01-26,483.47,3074881,483.23,493.87,478.77
2022-01-27,482.52,2374116,486.92,495.79,480.31
2022-01-28,492.43,1918479,483.74,492.73,475.9
2022-01-31,505.13,2480656,492,506.42,490.63
2022-02-01,508.41,2347161,505,509.68,496.94
2022-02-02,522.02,2547552,511.11,523.99,510.34
2022-02-03,521.77,2665116,515.88,526.44,514.21
2022-02-04,519.77,2387434,518.11,522,510.8
2022-02-07,515.89,1863560,521.3,522,514.23
2022-02-08,521.15,1461959,515.89,523.39,510.5
2022-02-09,528.83,2256668,528,534.24,525.68
2022-02-10,518.48,2558857,520.87,524.47,514.75
2022-02-11,509.67,2349695,518.4,521.35,507.38
2022-02-14,506.56,1749565,508.99,511.53,501.44
2022-02-15,513.92,1984779,513.34,516,510.76
2022-02-16,512.4,1770754,511.49,514.55,501.71
2022-02-17,515.01,2022828,509.64,518.21,507.03
2022-02-18,512.67,2154742,514.89,517.9,510.33
2022-02-22,502.18,2451796,510,514.58,498.16
2022-02-23,495.26,2021429,502.94,507.97,494.78
2022-02-24,505.58,2859804,483.27,506.55,482.98
2022-02-25,517.49,2002964,508.58,518.25,505.25
2022-02-28,519.25,2408949,514.3,519.63,511.3
2022-03-01,522.93,2316018,519.46,529.36,519.19
2022-03-02,528,2571468,524,533.09,519.77
2022-03-03,533.05,3851836,534.49,538.96,529.54
2022-03-04,525.5,4418923,519.5,529.92,511.78
2022-03-07,528.52,3896920,523.45,545.29,523.42
2022-03-08,523.36,3649663,526.22,539.73,522.41
2022-03-09,527.65,2789706,527.62,530.86,515.71
2022-03-10,532.72,1777660,523.11,534.37,518.14
2022-03-11,527.42,1735112,536.62,542.65,526.43
2022-03-14,525.95,1950008,527.77,535.31,523.54
2022-03-15,542.32,2547887,530,543.85,527.92
2022-03-16,543.39,3017225,544.53,551.62,531.26
2022-03-17,552.79,1974206,543.35,553.17,543.2
2022-03-18,561.35,3597825,552.96,562.55,549.51
2022-03-21,555.53,3136860,560.14,566.75,550.84
2022-03-22,559.42,1777494,556.96,560.35,552.33
2022-03-23,554.02,1546756,556.95,560.69,551.91
2022-03-24,558.11,1614151,555.51,558.26,549.22
2022-03-25,555.71,1975990,559.82,560.43,550.23
2022-03-28,565.21,2056125,556.74,565.26,553.5
2022-03-29,569.98,2005367,568,571.22,564.53
2022-03-30,576.47,2086497,570.95,578.25,568.59
2022-03-31,575.85,3439768,578.7,586.32,575.51
2022-04-01,575.57,1933507,577.38,582.99,572.31
2022-04-04,575.13,2202421,573.94,579.69,571.47
2022-04-05,575.32,1826816,572.59,583.98,572.1
2022-04-06,584.79,2646237,574.03,586.8,570.37
2022-04-07,608.05,4804249,592.29,612.27,588.78
2022-04-08,600.04,3230210,606.38,608,597.73
2022-04-11,584.67,2792714,598.79,601,582.8
2022-04-12,581.36,2141958,586.69,591.73,578.76
2022-04-13,591.09,2211841,582.47,593.49,582.47
2022-04-14,590.39,2206167,591.78,596.28,587.05
2022-04-18,582.12,2161925,585.38,592.11,579.6
2022-04-19,594.3,2327834,583.35,594.83,582
2022-04-20,603.53,1793337,599.15,605.28,597.31
2022-04-21,591.74,2027947,607.28,609.18,591.15
2022-04-22,571.7,2878169,590.35,591.9,571.05
2022-04-25,568.21,3154501,570.31,570.33,553.53
2022-04-26,553.76,2057352,565.25,568.34,553.31
2022-04-27,554.08,2261581,556.19,563.62,552.85
2022-04-28,562,2118683,555.47,564.8,545.8
2022-04-29,531.72,2968024,560.93,561.58,529.7
2022-05-02,528.95,3303362,532.23,539.2,518.27
2022-05-03,528.08,2398040,530,534.27,523.7
2022-05-04,544.43,2465206,531.6,546.14,522.81
2022-05-05,517.32,3977041,541.57,542.34,512.17
2022-05-06,503.36,3560758,514.4,516.44,498.82
2022-05-09,498.83,3292742,496.1,507.05,494.34
2022-05-10,501.46,2729398,509.7,510.63,495.63
2022-05-11,489.08,2782894,503.92,508,487.81
2022-05-12,486.18,2829489,486.79,497.26,479.76
2022-05-13,497.27,2338637,493.11,498.79,489.6
2022-05-16,494.53,1579715,496.14,497.68,489.62
2022-05-17,490.47,2602815,489.16,493.56,480.23
2022-05-18,429.4,9511603,460,463.86,424.55
2022-05-19,422.93,5839640,430.37,430.53,418.72
2022-05-20,416.43,5115014,428.8,428.85,406.51
2022-05-23,429.48,3687167,420,430,416.67
2022-05-24,437.71,3473424,424.8,438.73,424.35
2022-05-25,440.11,3225105,436.33,443.26,430.83
2022-05-26,464.99,5917606,449.1,468.05,447.51
2022-05-27,470.76,5719609,456.8,474.88,455.12
2022-05-31,466.22,4424541,470.76,470.8,458.03
2022-06-01,456.99,2319395,469.38,470.5,456.7
2022-06-02,487.61,4950575,460.9,491.13,457.88
2022-06-03,476.25,2857437,485.03,488.15,475.59
2022-06-06,472.47,2297043,480.5,481,468.91
2022-06-07,471.78,2435455,459.91,473.73,459.59
2022-06-08,467.99,1697022,471.78,474.43,466.89
2022-06-09,472.05,3087499,467.34,484.24,467.15
2022-06-10,463.31,2551932,465,468.19,457.76
2022-06-13,452.25,3113404,450,458.64,448.9
2022-06-14,454.8,2224642,452.25,458.76,450.28
2022-06-15,458.79,2250190,458.5,464.36,451.39
2022-06-16,451.76,2906555,450.31,457.77,447.97
2022-06-17,446.69,3623435,451.05,455.69,443.2
2022-06-21,463.11,2420616,450.55,464.82,449.14
2022-06-22,459.96,1827536,459.39,464.72,458.5
2022-06-23,475,2030070,466.37,476.28,465.71
2022-06-24,484.37,2862608,480,484.83,476.68
2022-06-27,481.75,2034692,485.81,487.24,477.35
2022-06-28,468.61,1761731,483.5,487.24,467.89
2022-06-29,469.84,1275598,470.95,472.97,466.42
2022-06-30,479.28,3852375,468.3,482.09,464.72
2022-07-01,485.76,2660404,481.18,491.25,478
2022-07-05,488.26,2490345,485.56,490.9,478.46
2022-07-06,492.65,2262272,488.26,497.02,487.78
2022-07-07,494.95,2125209,492.06,495.53,489.22
2022-07-08,501.54,2607818,497.32,505.52,497
2022-07-11,498.9,1891484,501.12,505.55,494.84
2022-07-12,490.57,1775346,497.01,501.9,488.04
2022-07-13,492.22,2008384,484.32,497.32,483.82
2022-07-14,511.94,3715592,496.09,513.27,493.62
2022-07-15,522.95,4265057,516.92,524.8,515.78
2022-07-18,516.3,2464070,521.86,528.53,515.67
2022-07-19,520.23,2391003,522.41,525.58,516.97
2022-07-20,524.2,1740735,521.26,526.16,516.81
2022-07-21,529.46,1716080,524.04,529.74,521.6
2022-07-22,529.72,1800760,530.71,537.11,526.07
2022-07-25,529.14,1452731,531.42,532.29,526
2022-07-26,511.93,3334847,515,519.69,508.76
2022-07-27,522.31,2060140,513.1,525.32,511.17
2022-07-28,536.18,2083253,520.28,539.18,520.28
2022-07-29,541.3,2131516,532,542.12,531.9
2022-08-01,546.81,2256005,541.42,552.71,541.25
2022-08-02,543.46,1984204,544.03,551.04,540.77
2022-08-03,547.01,1693324,545,548.7,542.12
2022-08-04,543.28,2000678,547,547.2,540.67
2022-08-05,540.67,1711488,537.24,541.6,533.35
2022-08-08,541.9,1345699,543.84,547.5,538.67
2022-08-09,535.82,1877305,543.64,545,533.89
2022-08-10,539.82,2336567,544.48,549.91,537.29
2022-08-11,532.2,2340166,543.24,543.49,531.81
2022-08-12,537.21,1918238,536.18,538.4,533.73
2022-08-15,545.75,1847952,536.4,547,535.68
2022-08-16,553.02,2497958,551.1,559.97,548.97
2022-08-17,556.32,1835240,550,559.45,549.01
2022-08-18,560.96,1619184,559.06,564.75,556.42
2022-08-19,554.53,1616955,558.65,559.26,553.17
2022-08-22,545.47,1860941,553,553,544.29
2022-08-23,542.07,1358979,545.74,546.01,536.88
2022-08-24,543.22,1145789,542.75,545.22,539.36
2022-08-25,550.77,1483254,545.74,550.91,539.55
2022-08-26,531.82,1886777,550,552.67,531.67
2022-08-29,531.06,1579865,527.03,535.5,524
2022-08-30,524.14,1872679,534.28,536.01,521.51
2022-08-31,522.1,2179809,525.54,526.32,520.26
2022-09-01,529.17,2280642,519.72,529.58,517.03
2022-09-02,519.11,1901738,532.7,534.84,516.05
2022-09-06,518.9,1933504,520.16,523.15,512.53
2022-09-07,529.64,1827910,520,531.66,518.9
2022-09-08,529.12,1600759,524.33,533.03,521.56
2022-09-09,536.58,1931148,532.12,538.06,529.53
2022-09-12,539.52,1522447,537.73,542.6,537
2022-09-13,510.3,2881436,530.79,532.24,508.69
2022-09-14,508,2007258,513.86,514.01,503.12
2022-09-15,503.5,1749609,508.4,509.06,500.53
2022-09-16,504.14,3004815,499.57,506.44,497.3
2022-09-19,506.57,1441346,502.16,506.71,498.89
2022-09-20,499.52,1843072,503,503.43,493.42
2022-09-21,493.07,2082552,502.5,506.43,493
2022-09-22,487.17,3133113,494,494,484.41
2022-09-23,466.4,5377805,478.94,482.32,463.53
2022-09-26,480.3,4001938,465.87,484.11,465.21
2022-09-27,478.3,2412425,485.49,488.4,475.43
2022-09-28,488.29,2419497,481.53,491.55,474.19
2022-09-29,478.98,1963927,485.61,489.01,474.07
2022-09-30,472.27,2436707,480.66,483.83,471.87
2022-10-03,477.73,2338532,474.5,480.84,470.4
2022-10-04,486.13,2175570,483.83,488.02,480.73
2022-10-05,480.32,1587657,481.3,483.87,474.82
2022-10-06,482.49,2430699,483.45,493.88,481.92
2022-10-07,468.15,2568079,478.26,479.11,466.12
2022-10-10,466.31,1616272,469.69,470.25,461.61
2022-10-11,472.02,2341373,465,477.25,463.7
2022-10-12,466.38,2043932,474.32,479.74,466.3
2022-10-13,467.99,3390881,458.19,471.74,449.03
2022-10-14,454.65,2304733,472.03,473.39,453.79
2022-10-17,464.17,2097535,461.65,466.88,460.48
2022-10-18,473.27,1863980,473.2,476.52,468.83
2022-10-19,471.43,1207647,467.81,474.87,466.95
2022-10-20,464.62,1709509,471,472.08,462.91
2022-10-21,478.18,2508437,463.71,479.57,462.28
2022-10-24,496.97,2366235,481.61,498,481.01
2022-10-25,499.06,2130859,493.32,500.19,490.5
2022-10-26,499.45,2089915,498,507.42,495.69
2022-10-27,496.54,1576567,499.81,503.01,494.14
2022-10-28,510.87,2369348,497.3,512.82,495.97
2022-10-31,501.5,2192211,509.64,509.64,500.5
2022-11-01,499.96,1586311,503.7,507.39,499.78
2022-11-02,483.51,2467966,497.8,503.24,483.27
2022-11-03,486.29,2010383,480.88,491.33,479.71
2022-11-04,486.41,1987258,490.4,492.63,476.49
2022-11-07,488.55,2036031,477.05,490,474.5
2022-11-08,492.76,1709907,490.73,498.26,484.51
2022-11-09,489.97,1640520,491.9,497.58,486.86
2022-11-10,513.13,3098317,504.95,514.85,501.4
2022-11-11,515.47,2393502,513.13,516.84,506.71
2022-11-14,509.68,1820240,515.77,520.7,509.42
2022-11-15,526.47,2502189,520,529.8,520
2022-11-16,524.11,1833590,521.31,528.56,520.17
2022-11-17,521.32,1903715,519,521.79,512.96
2022-11-18,523.67,1584684,526.87,529.54,518.19
2022-11-21,523.37,1268524,525.74,527.28,522.08
2022-11-22,531.95,1809067,529.96,532.8,526.68
2022-11-23,534.49,1288249,534,536.8,530.4
2022-11-25,533.66,744222,534.16,535.86,533.07
2022-11-28,530.92,1684701,530.89,536.25,528.94
2022-11-29,528.96,1685739,531.04,533.72,528
2022-11-30,539.25,3601779,527.41,542.58,522.14
2022-12-01,503.86,6970367,519.14,519.14,495.67
2022-12-02,494.53,3632096,498.52,498.97,492.11
